Title,Abstract,Citation Count,Publication Date,Joy_Score,Confidence_Score,Concern_Score,Curiosity_Score,Analytical_Score,Tentative_Score,Urgency_Score,Sentiment_Score,Primary_Emotions
A new biology for a new century,"… molecular biology's lead … in biology that 20th century biology, molecular biology, could not handle and, so, avoided. The former course, though highly productive, is certain to turn biology …",863,"CR Woese - Microbiology and molecular biology reviews, 2004 - Am Soc Microbiol",0,1,0,0,0,1,0,-0.0094,"['Confidence', 'Tentative']"
Biology,"… 25.1 Overview of Evolutionary Developmental Biology 492 25.2 One or Two Gene Mutations, New Form 495 25.3 Same Gene, New Function 496 25.4 Different Genes …",1122,"PH Raven, GB Johnson, KA Mason - 2011 - thuvienso.hoasen.edu.vn",0,0,0,0,0,0,0,0.0,['Neutral']
General biology,"Some species of Cryptosporidium infect many host species, whereas others appear restricted to groups such as rodents or ruminants, and others are known to infect only one host …",1089,"R Fayer - Cryptosporidium and cryptosporidiosis, 2007 - taylorfrancis.com",0,0,0,0,0,0,0,-0.3818,['Neutral']
The molecular biology of coronaviruses,"Coronaviruses are large, enveloped RNA viruses of both medical and veterinary importance. Interest in this viral family has intensified in the past few years as a result of the …",2266,"PS Masters - Advances in virus research, 2006 - Elsevier",0,0,0,0,0,0,0,0.6705,['Neutral']
Sealice on salmonids: their biology and control,… This review examines the voluminous literature on the biology and control of sealice and brings together ideas for developing our knowledge of these organisms. Research on the …,643,"AW Pike, SL Wadsworth - Advances in parasitology, 1999 - Elsevier",0,0,0,0,1,0,0,0.0,['Analytical']
Biology,"… Comparative Animal Biology 576 … 1.1 How to Define Life 2 1.3 Evolution, the Unifying Concept of Biology 6 1.3 How the Biosphere Is Organized 9 1.4 The Process of Science 11 …",548,SS Mader - 2010 - thuvienso.hoasen.edu.vn,0,0,0,0,0,0,0,0.0,['Neutral']
Biology data book,"Embryos were raised at constant temperature in circulating nalis"" u 10% smaller. For additional information on salmowater, from three hours after fertilization. Age= time from nids, …",1453,"PL Altman, DS Dittmer - 1972 - bionumbers.hms.harvard.edu",0,0,0,0,0,0,0,0.0,['Neutral']
The biology of Pseudocalanus,Publisher Summary Pseudocalanus is typical of most crustaceans in that after hatching at an early stage of development it adds successively new segments and appendages. …,477,"CJ Corkett, IA McLaren - Advances in marine biology, 1979 - Elsevier",0,0,0,0,0,0,0,0.2263,['Neutral']
The biology of mycorrhiza.,"Since Dr. Rayner published her book on mycorrhiza in 1927 there has not been a comprehensive account of this subject, although the need for a critical re-appraisal of the extensive …",988,JL Harley - 1959 - cabidigitallibrary.org,0,0,0,0,0,0,1,-0.466,['Urgency']
Cell Biology E-Book: Cell Biology E-Book,"Reader-friendly Cell Biology, 4th Edition, provides a concise but comprehensive foundation for students entering research or health care career paths. Award winning illustrations help …",1023,"TD Pollard, WC Earnshaw, J Lippincott-Schwartz… - 2022 - books.google.com",0,0,0,0,0,0,0,0.967,['Neutral']
Cell Biology E-Book: Cell Biology E-Book,"Reader-friendly Cell Biology, 4th Edition, provides a concise but comprehensive foundation for students entering research or health care career paths. Award winning illustrations help …",1023,"TD Pollard, WC Earnshaw, J Lippincott-Schwartz… - 2022 - books.google.com",0,0,0,0,0,0,0,0.967,['Neutral']
Biology,,5783,"NA Campbell, JB Reece - 2005 - Pearson Education India",0,0,0,0,0,0,0,0.0,['Neutral']
Cell biology of olfaction,"… The aim of the study of olfactory cell biology is to understand the cellular basis on which … bulb, receptor biology, transduction mechanisms, cell replacement, developmental biology and …",519,AI Farbman - 1992 - books.google.com,0,0,0,0,0,0,0,0.0,['Neutral']
Theoretical biology,"… Having brought the analysis of the basal elements of biology thus far, we are in a position to explain some problems of fundamental importance. It was Helmholtz, as we know, who …",583,J Von Uexküll - 1926 - books.google.com,0,0,0,0,0,0,0,-0.0516,['Neutral']
The problems of biology,"Concentrating on problems that commonly perplex general readers and beginning students, John Maynard Smith discusses fundamental issues in biology, with emphasis on evolution, …",480,JM Smith - 1986 - philpapers.org,0,0,0,0,0,1,0,-0.4019,['Tentative']
Life: the science of biology,"… biology, cell biology, genetics, molecular biology, and biochemistry, and he recently developed a new course on the biology of … authority in ecology, conservation biology, and evolution, …",1306,WK Purves - 2001 - books.google.com,0,0,0,0,0,0,0,0.0772,['Neutral']
Mathematical biology: I. An introduction,… edition of Murray's Mathematical Biology. Since then mathematical biology has grown at an … some of the exciting problems that arise in biology and gives some indication of the wide …,24182,JD Murray - 2007 - books.google.com,0,0,0,0,0,0,0,0.128,['Neutral']
Molecular biology of flaviviruses,The major medical importance of flaviviruses has fostered studies into their molecular biology in research laboratories around the world. Although the molecular biology of flaviviruses …,1106,"BD Lindenbach, CM Rice - Advances in virus research, 2003 - books.google.com",0,0,0,0,0,0,0,0.4173,['Neutral']
The molecular biology of arteriviruses,"… After a brief introduction, this review will focus on the molecular biology of the members of the arterivirus family. For detailed information about the clinical, epidemiological and …",1135,"EJ Snijder, JJM Meulenberg - Journal of general virology, 1998 - academia.edu",0,0,0,0,0,0,0,0.0,['Neutral']
