Title,Abstract,Citation Count,Publication Date,Joy_Score,Confidence_Score,Concern_Score,Curiosity_Score,Analytical_Score,Tentative_Score,Urgency_Score,Sentiment_Score,Primary_Emotions
Introduction to information technology,We present our experience in designing a course of Introduction to Information Technology (IIT) for the first-year students. The main purpose of this course is to introduce the concepts of …,935,"E Turban, RK Rainer, RE Potter - 2001 - cdio.org",0,0,0,0,0,0,0,0.0,['Neutral']
"The role of information technology in the organization: a review, model, and assessment",… and devices which link information systems and people including … Information systems and information technologies are often … we will refer to them jointly as information technology (IT). …,1434,"T Dewett, GR Jones - Journal of management, 2001 - Elsevier",0,0,0,0,0,0,0,0.0,['Neutral']
Managing information technology,Information technology (IT) is a strategic asset. Successful deployment and utilization of IT is a must in order for a business to succeed and gain competitive advantage. The net result is …,587,"EW Martin, CV Brown, DW DeHayes, JA Hoffer… - 2005 - utminers.utep.edu",1,0,0,0,0,0,0,0.9393,['Joy']
Information technology and productivity: a review of the literature,… “technology payoff”-’ represent the latest trend. A growing number of academic studies also report positive effects of information … of how information technology affects productivity either …,1191,"E Brynjolfsson, S Yang - Advances in computers, 1996 - Elsevier",1,0,0,0,0,0,0,0.6808,['Joy']
Information technology and growth,"The rapid diffusion of information technology (IT) is a direct consequence of the swift decline in the price of computer-related equipment, which has led to a vast and continuing …",804,"DW Jorgenson, KJ Stiroh - American Economic Review, 1999 - pubs.aeaweb.org",0,0,0,0,0,0,0,0.2023,['Neutral']
Information technology law,"Information technology affects all aspects of modern life. From the information shared on social media such as Facebook, Twitter, and Instagram to online shopping and mobile devices, …",588,I Lloyd - 2020 - books.google.com,0,0,0,0,0,0,0,0.34,['Neutral']
Innovating mindfully with information technology,"Although organizational innovation with information technology is often carefully considered, bandwagon phenomena indicate that much innovative behavior may nevertheless be of …",1220,"EB Swanson, NC Ramiller - MIS quarterly, 2004 - JSTOR",0,0,0,1,0,2,0,0.7184,"['Curiosity', 'Tentative']"
Using information technology: A practical introduction to computers and communications,"From the Publisher: Using Information Technology,4/e integrates solid,practical coverage of communications and the Internet/WWW throughout while covering the fundamental …",703,"BK Williams, SC Sawyer, SE Hutchinson - 1995 - dl.acm.org",0,0,0,0,0,0,0,0.0,['Neutral']
Information technology and corporate strategy: a research perspective,"… importance of information technology. Indeed, the potential use of information technology as … distinguishing three levels at which information technology impacts corporate strategy: the …",1235,"JY Bakos, ME Treacy - MIS quarterly, 1986 - JSTOR",0,0,0,0,0,0,0,0.3612,['Neutral']
The economics of information technology: An introduction,… boom led to a dramatic run-up of stock prices for information technology companies. … There are many other examples of innovative production enabled by information technology that will …,813,"HR Varian, J Farrell, C Shapiro - 2004 - books.google.com",0,0,0,1,0,0,0,0.4404,['Curiosity']
Management strategies for information technology,"… This study was to explore the role of information technology played in knowledge management(KM) strategies of teachers. We discussed ""what ... … The chapters are built in …",2363,MJ Earl - 1989 - dl.acm.org,0,0,0,0,0,0,0,0.34,['Neutral']
The information technology revolution,"… and the ""fifth generation"" of supercomputers, the rise of the personal computer and the use of information technology in schools, factories, offices, banks, shops, and hospitals. …",525,T Forester - 1985 - dl.acm.org,0,0,0,0,0,0,0,0.0,['Neutral']
Improving safety with information technology,"… In other industries, information technology has made … and software should allow information technology to play a vital … the role and effect of information technology with respect to safety …",2094,"DW Bates, AA Gawande - New England journal of medicine, 2003 - Mass Medical Soc",0,0,0,0,0,0,0,0.886,['Neutral']
Information technology comes to medicine,"… This Health Policy Report explores the risks and benefits of health information technology, how policymakers are encouraging and managing its dissemination, and what the future …",508,"D Blumenthal, JP Glaser - New England Journal of Medicine, 2007 - Mass Medical Soc",0,0,0,0,0,0,0,0.5994,['Neutral']
Information technology evaluation: is it different?,"… new technology. It is necessary to bear in mind the scale of information technology investment … of discretionary expenditure is being allocated to information technology; much of it, it will …",330,"P Powell - Journal of the operational research society, 1992 - Taylor & Francis",0,0,0,0,0,0,1,0.0,['Urgency']
