Title,Abstract,Citation Count,Publication Date,Joy_Score,Confidence_Score,Concern_Score,Curiosity_Score,Analytical_Score,Tentative_Score,Urgency_Score,Sentiment_Score,Primary_Emotions
Supercollider physics,"… physics capabilities of such a device and the demands placed upon accelerator parameters by the physics … However, according to ourpresent knowledge of elementary particle physics, …",3117,"E Eichten, I Hinchliffe, K Lane, C Quigg - Reviews of Modern Physics, 1984 - APS",0,0,0,0,0,0,0,0.0,['Neutral']
Erratum: supercollider physics,"A programming error led to too slow a growth in the population of heavy flavors. At the largest values of Q, our structure functions underestimate the heavy quark content of the proton by …",505,"E Eichten, I Hinchliffe, K Lane, C Quigg - Reviews of Modern Physics, 1986 - APS",0,0,0,0,0,0,0,0.1027,['Neutral']
Physics,"I feel great pleasure to introduce the thoroughly revised and enlarged edition of this book titled"" Krishna's Objective Pre Engineering Physics"". This time, the book has been updated to …",732,"R Resnick, D Halliday - 1966 - books.google.com",0,0,0,0,0,0,0,0.8316,['Neutral']
Physics of chemoreception,"Statistical fluctuations limit the precision with which a microorganism can, in a given time T, determine the concentration of a chemoattractant in the surrounding medium. The best a cell …",2342,"HC Berg, EM Purcell - Biophysical journal, 1977 - cell.com",0,0,0,0,0,0,0,0.6369,['Neutral']
Introduction to mesoscopic physics,"… physics and engineering, since engineering such tiny electronic components requires a firm grasp of quantum physics… text in a course on mesoscopic physics or as a supplementary text …",2422,Y Imry - 2002 - books.google.com,0,0,0,0,0,0,0,0.0,['Neutral']
Fundamentals of physics,"The 10th edition of Halliday, Resnick and Walkers Fundamentals of Physics provides the perfect solution for teaching a 2 or 3 semester calculus-based physics course, providing …",5675,"D Halliday, R Resnick, J Walker - 2013 - books.google.com",0,0,0,0,0,0,0,0.7184,['Neutral']
Physics of nonhermitian degeneracies,"… Nonhermitian hamiltonians usually enter physics as a … as a perturbation, with the physics essentially unchanged from the … nonhermitian physics differs radically from hermitian physics …",862,"MV Berry - Czechoslovak journal of physics, 2004 - Springer",0,0,0,0,0,0,1,0.0,['Urgency']
Physics at BES-III,… Studies of τ-charm physics could reveal or indicate the possible presence of new physics in the low energy region. This physics book provides detailed discussions on important topics …,533,"DM Asner, T Barnes, JM Bian, II Bigi… - arXiv preprint arXiv …, 2008 - arxiv.org",0,0,0,0,0,2,1,0.2023,"['Tentative', 'Urgency']"
The physics of rainclouds,"This book was first published in 1962, at a time when the meteorological study of cloud physics was gaining increasing prominence, largely due to numerous technological advances. …",1719,NH Fletcher - 2011 - books.google.com,0,0,0,0,0,0,0,0.4215,['Neutral']
Practical physics,This book sets out to demonstrate the purpose and critical approach that should be made to all experimental work in physics. It does not describe a systematic course in practical work. …,589,GL Squires - 2001 - books.google.com,0,0,0,0,0,0,1,-0.3182,['Urgency']
